county,state,population
Autauga,Alabama,"55,869"
Baldwin,Alabama,"223,234"
Barbour,Alabama,"24,686"
Bibb,Alabama,"22,394"
Blount,Alabama,"57,826"
Bullock,Alabama,"10,101"
Butler,Alabama,"19,448"
Calhoun,Alabama,"113,605"
Chambers,Alabama,"33,254"
Cherokee,Alabama,"26,196"
Chilton,Alabama,"44,428"
Choctaw,Alabama,"12,589"
Clarke,Alabama,"23,622"
Clay,Alabama,"13,235"
Cleburne,Alabama,"14,910"
Coffee,Alabama,"52,342"
Colbert,Alabama,"55,241"
Conecuh,Alabama,"12,067"
Coosa,Alabama,"10,663"
Covington,Alabama,"37,049"
Crenshaw,Alabama,"13,772"
Cullman,Alabama,"83,768"
Dale,Alabama,"49,172"
Dallas,Alabama,"37,196"
DeKalb,Alabama,"71,513"
Elmore,Alabama,"81,209"
Escambia,Alabama,"36,633"
Etowah,Alabama,"102,268"
Fayette,Alabama,"16,302"
Franklin,Alabama,"31,362"
Geneva,Alabama,"26,271"
Greene,Alabama,"8,111"
Hale,Alabama,"14,651"
Henry,Alabama,"17,205"
Houston,Alabama,"105,882"
Jackson,Alabama,"51,626"
Jefferson,Alabama,"658,573"
Lamar,Alabama,"13,805"
Lauderdale,Alabama,"92,729"
Lawrence,Alabama,"32,924"
Lee,Alabama,"164,542"
Limestone,Alabama,"98,915"
Lowndes,Alabama,"9,726"
Macon,Alabama,"18,068"
Madison,Alabama,"372,909"
Marengo,Alabama,"18,863"
Marion,Alabama,"29,709"
Marshall,Alabama,"96,774"
Mobile,Alabama,"413,210"
Monroe,Alabama,"20,733"
Montgomery,Alabama,"226,486"
Morgan,Alabama,"119,679"
Perry,Alabama,"8,923"
Pickens,Alabama,"19,930"
Pike,Alabama,"33,114"
Randolph,Alabama,"22,722"
Russell,Alabama,"57,961"
St. Clair,Alabama,"89,512"
Shelby,Alabama,"217,702"
Sumter,Alabama,"12,427"
Talladega,Alabama,"79,978"
Tallapoosa,Alabama,"40,367"
Tuscaloosa,Alabama,"209,355"
Walker,Alabama,"63,521"
Washington,Alabama,"16,326"
Wilcox,Alabama,"10,373"
Winston,Alabama,"23,629"
Aleutians East Borough,Alaska,"3,337"
Aleutians West Census Area,Alaska,"5,634"
Anchorage,Alaska,"288,000"
Bethel Census Area,Alaska,"18,386"
Bristol Bay Borough,Alaska,836
Denali Borough,Alaska,"2,097"
Dillingham Census Area,Alaska,"4,916"
Fairbanks North Star Borough,Alaska,"96,849"
Haines Borough,Alaska,"2,530"
Hoonah-Angoon Census Area,Alaska,"2,148"
Juneau City and Borough,Alaska,"31,974"
Kenai Peninsula Borough,Alaska,"58,708"
Ketchikan Gateway Borough,Alaska,"13,901"
Kodiak Island Borough,Alaska,"12,998"
Kusilvak Census Area,Alaska,"8,314"
Lake and Peninsula Borough,Alaska,"1,592"
Matanuska-Susitna Borough,Alaska,"108,317"
Nome Census Area,Alaska,"10,004"
North Slope Borough,Alaska,"9,832"
Northwest Arctic Borough,Alaska,"7,621"
Petersburg Borough,Alaska,"3,266"
Prince of Wales-Hyder Census Area,Alaska,"6,203"
Sitka City and Borough,Alaska,"8,493"
Skagway Municipality,Alaska,"1,183"
Southeast Fairbanks Census Area,Alaska,"6,893"
Valdez-Cordova Census Area,Alaska,"9,202"
Wrangell City and Borough,Alaska,"2,502"
Yakutat City and Borough,Alaska,579
Yukon-Koyukuk Census Area,Alaska,"5,230"
Apache,Arizona,"71,887"
Cochise,Arizona,"125,922"
Coconino,Arizona,"143,476"
Gila,Arizona,"54,018"
Graham,Arizona,"38,837"
Greenlee,Arizona,"9,498"
La Paz,Arizona,"21,108"
Maricopa,Arizona,"4,485,414"
Mohave,Arizona,"212,181"
Navajo,Arizona,"110,924"
Pima,Arizona,"1,047,279"
Pinal,Arizona,"462,789"
Santa Cruz,Arizona,"46,498"
Yavapai,Arizona,"235,099"
Yuma,Arizona,"213,787"
Arkansas,Arkansas,"17,486"
Ashley,Arkansas,"19,657"
Baxter,Arkansas,"41,932"
Benton,Arkansas,"279,141"
